config,shape,rep,wave,models,wall_s,succeeded,failed,timed_out,running,ddb_throttle
burst-dominant,spiky,1,A,"nova-2-lite,sonnet-46,opus-47",365,1529,0,0,0,0
burst-dominant,spiky,1,B,opus-47-mantle,230,595,0,0,0,0
burst-dominant,spiky,2,A,"nova-2-lite,sonnet-46,opus-47",391,1396,0,0,0,0
burst-dominant,spiky,2,B,opus-47-mantle,215,555,0,0,0,0
burst-dominant,spiky,3,A,"nova-2-lite,sonnet-46,opus-47",401,1353,0,0,0,0
burst-dominant,spiky,3,B,opus-47-mantle,236,637,0,0,0,0
burst-dominant,spiky,4,A,"nova-2-lite,sonnet-46,opus-47",391,1527,0,0,0,0
burst-dominant,spiky,4,B,opus-47-mantle,231,622,0,0,0,0
burst-dominant,spiky,5,A,"nova-2-lite,sonnet-46,opus-47",391,1336,0,0,0,0
burst-dominant,spiky,5,B,opus-47-mantle,206,515,0,0,0,0
burst-dominant,at_quota,1,A,"nova-2-lite,sonnet-46,opus-47",401,1310,0,0,0,0
burst-dominant,at_quota,1,B,opus-47-mantle,226,614,1,0,0,0
burst-dominant,at_quota,2,A,"nova-2-lite,sonnet-46,opus-47",396,1485,0,0,0,0
burst-dominant,at_quota,2,B,opus-47-mantle,206,531,0,0,0,0
burst-dominant,at_quota,3,A,"nova-2-lite,sonnet-46,opus-47",376,1516,1,0,0,0
burst-dominant,at_quota,3,B,opus-47-mantle,210,609,0,0,0,0
burst-dominant,at_quota,4,A,"nova-2-lite,sonnet-46,opus-47",405,1298,0,0,0,0
burst-dominant,at_quota,4,B,opus-47-mantle,196,497,0,0,0,0
burst-dominant,at_quota,5,A,"nova-2-lite,sonnet-46,opus-47",376,1311,0,0,0,0
burst-dominant,at_quota,5,B,opus-47-mantle,210,627,0,0,0,0
burst-dominant,extreme_spike,1,A,"nova-2-lite,sonnet-46,opus-47",246,739,0,0,0,0
burst-dominant,extreme_spike,1,B,opus-47-mantle,130,295,0,0,0,0
burst-dominant,extreme_spike,2,A,"nova-2-lite,sonnet-46,opus-47",250,711,0,0,0,0
burst-dominant,extreme_spike,2,B,opus-47-mantle,130,256,0,0,0,0
burst-dominant,extreme_spike,3,A,"nova-2-lite,sonnet-46,opus-47",230,639,0,0,0,0
burst-dominant,extreme_spike,3,B,opus-47-mantle,130,254,0,0,0,0
burst-dominant,extreme_spike,4,A,"nova-2-lite,sonnet-46,opus-47",210,657,0,0,0,0
burst-dominant,extreme_spike,4,B,opus-47-mantle,130,273,0,0,0,0
burst-dominant,extreme_spike,5,A,"nova-2-lite,sonnet-46,opus-47",211,651,0,0,0,0
burst-dominant,extreme_spike,5,B,opus-47-mantle,126,269,0,0,0,0
burst-dominant,steady_spike,1,A,"nova-2-lite,sonnet-46,opus-47",371,1213,0,0,0,0
burst-dominant,steady_spike,1,B,opus-47-mantle,196,569,0,0,0,0
burst-dominant,steady_spike,2,A,"nova-2-lite,sonnet-46,opus-47",391,1360,0,0,0,0
burst-dominant,steady_spike,2,B,opus-47-mantle,186,538,0,0,0,0
burst-dominant,steady_spike,3,A,"nova-2-lite,sonnet-46,opus-47",366,1228,0,0,0,0
burst-dominant,steady_spike,3,B,opus-47-mantle,176,479,0,0,0,0
burst-dominant,steady_spike,4,A,"nova-2-lite,sonnet-46,opus-47",371,1182,0,0,0,0
burst-dominant,steady_spike,4,B,opus-47-mantle,180,484,0,0,0,0
burst-dominant,steady_spike,5,A,"nova-2-lite,sonnet-46,opus-47",361,1137,0,0,0,0
burst-dominant,steady_spike,5,B,opus-47-mantle,180,506,0,0,0,0
balanced,spiky,1,A,"nova-2-lite,sonnet-46,opus-47",391,1295,0,0,0,0
balanced,spiky,1,B,opus-47-mantle,186,530,0,0,0,0
balanced,spiky,2,A,"nova-2-lite,sonnet-46,opus-47",381,1263,0,0,0,0
balanced,spiky,2,B,opus-47-mantle,201,620,0,0,0,0
balanced,spiky,3,A,"nova-2-lite,sonnet-46,opus-47",371,1540,0,0,0,0
balanced,spiky,3,B,opus-47-mantle,205,623,0,0,0,0
balanced,spiky,4,A,"nova-2-lite,sonnet-46,opus-47",391,1570,0,0,0,0
balanced,spiky,4,B,opus-47-mantle,200,601,0,0,0,0
balanced,spiky,5,A,"nova-2-lite,sonnet-46,opus-47",376,1508,0,0,0,0
balanced,spiky,5,B,opus-47-mantle,206,626,0,0,0,0
balanced,at_quota,1,A,"nova-2-lite,sonnet-46,opus-47",382,1554,0,0,0,0
balanced,at_quota,1,B,opus-47-mantle,196,616,0,0,0,0
balanced,at_quota,2,A,"nova-2-lite,sonnet-46,opus-47",386,1385,0,0,0,0
balanced,at_quota,2,B,opus-47-mantle,191,554,0,0,0,0
balanced,at_quota,3,A,"nova-2-lite,sonnet-46,opus-47",386,1381,0,0,0,0
balanced,at_quota,3,B,opus-47-mantle,1048,570,0,0,0,0
balanced,at_quota,4,A,"nova-2-lite,sonnet-46,opus-47",578,313,0,0,0,0
balanced,at_quota,4,B,opus-47-mantle,829,563,0,0,0,0
balanced,at_quota,5,A,"nova-2-lite,sonnet-46,opus-47",942,274,0,0,0,0
balanced,at_quota,5,B,opus-47-mantle,1989,87,0,0,0,0
queue-dominant,spiky,1,A,"nova-2-lite,sonnet-46,opus-47",2475,380,0,0,0,0
queue-dominant,spiky,1,B,opus-47-mantle,290,47,0,0,0,0
queue-dominant,spiky,2,A,"nova-2-lite,sonnet-46,opus-47",1552,686,0,0,0,0
queue-dominant,spiky,2,B,opus-47-mantle,2548,525,0,0,0,0
queue-dominant,spiky,3,A,"nova-2-lite,sonnet-46,opus-47",3096,661,0,0,0,0
queue-dominant,spiky,3,B,opus-47-mantle,2861,93,0,0,0,0
queue-dominant,spiky,4,A,"nova-2-lite,sonnet-46,opus-47",1707,42,0,0,0,0
queue-dominant,spiky,4,B,opus-47-mantle,2785,309,0,0,0,0
queue-dominant,spiky,5,A,"nova-2-lite,sonnet-46,opus-47",3004,333,0,0,0,0
queue-dominant,spiky,5,B,opus-47-mantle,1063,646,0,0,0,0
queue-dominant,at_quota,1,A,"nova-2-lite,sonnet-46,opus-47",2093,896,0,0,0,0
queue-dominant,at_quota,1,B,opus-47-mantle,1098,235,0,0,0,0
queue-dominant,at_quota,2,A,"nova-2-lite,sonnet-46,opus-47",1158,695,0,0,0,0
queue-dominant,at_quota,2,B,opus-47-mantle,1589,76,0,0,0,0
queue-dominant,at_quota,3,A,"nova-2-lite,sonnet-46,opus-47",346,1307,0,0,0,0
queue-dominant,at_quota,3,B,opus-47-mantle,191,619,0,0,0,0
queue-dominant,at_quota,4,A,"nova-2-lite,sonnet-46,opus-47",386,1595,0,0,0,0
queue-dominant,at_quota,4,B,opus-47-mantle,201,637,0,0,0,0
queue-dominant,at_quota,5,A,"nova-2-lite,sonnet-46,opus-47",371,1573,0,0,0,0
queue-dominant,at_quota,5,B,opus-47-mantle,196,641,0,0,0,0
balanced,extreme_spike,1,A,"nova-2-lite,sonnet-46,opus-47",200,760,0,0,0,0
balanced,extreme_spike,1,B,opus-47-mantle,120,286,0,0,0,0
balanced,extreme_spike,2,A,"nova-2-lite,sonnet-46,opus-47",216,764,0,0,0,0
balanced,extreme_spike,2,B,opus-47-mantle,125,302,0,0,0,0
balanced,extreme_spike,3,A,"nova-2-lite,sonnet-46,opus-47",205,772,0,0,0,0
balanced,extreme_spike,3,B,opus-47-mantle,130,314,0,0,0,0
