config,shape,rep,wave,models,wall_s,succeeded,failed,timed_out,running,ddb_throttle
balanced,extreme_spike,4,A,"nova-2-lite,sonnet-46,opus-47",211,767,0,0,0,0
balanced,extreme_spike,4,B,opus-47-mantle,121,276,0,0,0,0
balanced,extreme_spike,5,A,"nova-2-lite,sonnet-46,opus-47",206,713,0,0,0,0
balanced,extreme_spike,5,B,opus-47-mantle,131,308,0,0,0,0
balanced,steady_spike,1,A,"nova-2-lite,sonnet-46,opus-47",341,1322,1,0,0,0
balanced,steady_spike,1,B,opus-47-mantle,171,512,0,0,0,0
balanced,steady_spike,2,A,"nova-2-lite,sonnet-46,opus-47",346,1376,0,0,0,0
balanced,steady_spike,2,B,opus-47-mantle,175,562,0,0,0,0
balanced,steady_spike,3,A,"nova-2-lite,sonnet-46,opus-47",341,1347,0,0,0,0
balanced,steady_spike,3,B,opus-47-mantle,175,551,0,0,0,0
balanced,steady_spike,4,A,"nova-2-lite,sonnet-46,opus-47",336,1331,0,0,0,0
balanced,steady_spike,4,B,opus-47-mantle,176,561,0,0,0,0
balanced,steady_spike,5,A,"nova-2-lite,sonnet-46,opus-47",330,1296,0,0,0,0
balanced,steady_spike,5,B,opus-47-mantle,181,562,0,0,0,0
queue-dominant,extreme_spike,1,A,"nova-2-lite,sonnet-46,opus-47",201,729,0,0,0,0
queue-dominant,extreme_spike,1,B,opus-47-mantle,120,292,0,0,0,0
queue-dominant,extreme_spike,2,A,"nova-2-lite,sonnet-46,opus-47",216,734,0,0,0,0
queue-dominant,extreme_spike,2,B,opus-47-mantle,121,294,0,0,0,0
queue-dominant,extreme_spike,3,A,"nova-2-lite,sonnet-46,opus-47",210,703,1,0,0,0
queue-dominant,extreme_spike,3,B,opus-47-mantle,753,257,0,0,0,0
queue-dominant,extreme_spike,4,A,"nova-2-lite,sonnet-46,opus-47",1051,0,0,0,0,0
queue-dominant,extreme_spike,4,B,opus-47-mantle,233,242,0,0,0,0
queue-dominant,extreme_spike,5,A,"nova-2-lite,sonnet-46,opus-47",704,0,0,0,0,0
queue-dominant,extreme_spike,5,B,opus-47-mantle,956,0,0,0,0,0
queue-dominant,steady_spike,1,A,"nova-2-lite,sonnet-46,opus-47",138,331,0,0,0,0
queue-dominant,steady_spike,1,B,opus-47-mantle,1295,248,0,0,0,0
queue-dominant,steady_spike,2,A,"nova-2-lite,sonnet-46,opus-47",1701,1157,0,0,0,0
queue-dominant,steady_spike,2,B,opus-47-mantle,1014,98,0,0,0,0
queue-dominant,steady_spike,3,A,"nova-2-lite,sonnet-46,opus-47",975,163,0,0,0,0
queue-dominant,steady_spike,3,B,opus-47-mantle,1774,114,0,0,0,0
queue-dominant,steady_spike,4,A,"nova-2-lite,sonnet-46,opus-47",686,508,0,0,0,0
queue-dominant,steady_spike,4,B,opus-47-mantle,929,60,0,0,0,0
queue-dominant,steady_spike,5,A,"nova-2-lite,sonnet-46,opus-47",2756,218,0,0,0,0
queue-dominant,steady_spike,5,B,opus-47-mantle,2430,167,0,0,0,0
